Scenario,Category,Violation,Number of Offense,Sanction
A student kneed another student in the stomach during a fight in the gym.,Campus and Public Disturbances,Inflicting physical injuries on another inside the University premises or during an academic function or school activity outside the University.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student hit a classmate with a bottle during a heated debate.,Campus and Public Disturbances,Inflicting physical injuries on another inside the University premises or during an academic function or school activity outside the University.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student stomped on another student's hand, causing injury.",Campus and Public Disturbances,Inflicting physical injuries on another inside the University premises or during an academic function or school activity outside the University.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student twisted a classmate’s arm in a fight over seating.,Campus and Public Disturbances,Inflicting physical injuries on another inside the University premises or during an academic function or school activity outside the University.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student headbutted another student in the face during a confrontation.,Campus and Public Disturbances,Inflicting physical injuries on another inside the University premises or during an academic function or school activity outside the University.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student threw hot coffee at a classmate, causing burns.",Campus and Public Disturbances,Inflicting physical injuries on another inside the University premises or during an academic function or school activity outside the University.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student hit a classmate with a notebook, resulting in minor injuries.",Campus and Public Disturbances,Inflicting physical injuries on another inside the University premises or during an academic function or school activity outside the University.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student pushed a classmate into a locker, injuring their back.",Campus and Public Disturbances,Inflicting physical injuries on another inside the University premises or during an academic function or school activity outside the University.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student hit another student with a basketball during a heated game.,Campus and Public Disturbances,Inflicting physical injuries on another inside the University premises or during an academic function or school activity outside the University.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student punched a classmate in the stomach during an argument.,Campus and Public Disturbances,Inflicting physical injuries on another inside the University premises or during an academic function or school activity outside the University.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student attacked another student with a pen, causing injury.",Campus and Public Disturbances,Inflicting physical injuries on another inside the University premises or during an academic function or school activity outside the University.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student hit a classmate in the face with their phone during an altercation.,Campus and Public Disturbances,Inflicting physical injuries on another inside the University premises or during an academic function or school activity outside the University.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student injured a classmate by pulling their hair during a fight.,Campus and Public Disturbances,Inflicting physical injuries on another inside the University premises or during an academic function or school activity outside the University.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student kicked a classmate in the shin during an argument.,Campus and Public Disturbances,Inflicting physical injuries on another inside the University premises or during an academic function or school activity outside the University.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student threw a shoe at another student, causing injury.",Campus and Public Disturbances,Inflicting physical injuries on another inside the University premises or during an academic function or school activity outside the University.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student hit a classmate on the head with a water bottle.,Campus and Public Disturbances,Inflicting physical injuries on another inside the University premises or during an academic function or school activity outside the University.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student injured another by throwing a desk during a fight.,Campus and Public Disturbances,Inflicting physical injuries on another inside the University premises or during an academic function or school activity outside the University.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student shoved a classmate against the wall, injuring them.",Campus and Public Disturbances,Inflicting physical injuries on another inside the University premises or during an academic function or school activity outside the University.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student injured another by slamming the classroom door on them.,Campus and Public Disturbances,Inflicting physical injuries on another inside the University premises or during an academic function or school activity outside the University.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student threw a book at another student during a heated debate.,Campus and Public Disturbances,Inflicting physical injuries on another inside the University premises or during an academic function or school activity outside the University.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student caused injury by pulling a classmate’s chair out from under them.,Campus and Public Disturbances,Inflicting physical injuries on another inside the University premises or during an academic function or school activity outside the University.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student elbowed a classmate in the face during a heated basketball game.,Campus and Public Disturbances,Inflicting physical injuries on another inside the University premises or during an academic function or school activity outside the University.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student slapped a classmate during an argument over a project.,Campus and Public Disturbances,Inflicting physical injuries on another inside the University premises or during an academic function or school activity outside the University.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student caused injury by throwing a soccer ball at a classmate’s head.,Campus and Public Disturbances,Inflicting physical injuries on another inside the University premises or during an academic function or school activity outside the University.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student scratched a classmate’s face during a confrontation in the hallway.,Campus and Public Disturbances,Inflicting physical injuries on another inside the University premises or during an academic function or school activity outside the University.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student punched another student after being provoked during class.,Campus and Public Disturbances,Inflicting physical injuries on another inside the University premises or during an academic function or school activity outside the University.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student threw a laptop at a university officer after a disciplinary hearing.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student slapped an administrative officer after a heated disagreement.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student attacked a department head after a dispute over a thesis grade.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student threw a book at a faculty member during an argument over homework.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student hit a faculty member with a book in a fit of rage.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student spit on a university staff member after being caught breaking a rule.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student punched a guidance counselor in a dispute over advice.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student shoved an administrative officer during a discussion about grades.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student threw a water bottle at a professor during an online class.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student kicked an administrator during a meeting over disciplinary actions.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student hit a professor with a coffee mug in a fit of anger.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student hit a faculty member with a ruler during a classroom altercation.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student punched a teaching assistant after being told to stay quiet.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student grabbed and threw a chair at an administrative assistant.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student punched a professor in the face after a dispute over grades.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student pushed a staff member out of frustration after being reprimanded.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student slapped a teaching assistant during an exam review session.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student pushed a faculty member during an argument over exam results.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student shoved a faculty member into a door after an argument.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student kicked a faculty member during a heated disagreement.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student grabbed a faculty member by the collar during a heated debate.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student injured a teaching assistant by slamming the door on them.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student attacked a professor with a textbook during class.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student scratched a faculty member during a confrontation over late work.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student threatened and hit a security guard at the entrance.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student pushed a professor down the stairs after being dismissed.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student assaulted a dean during a meeting about disciplinary action.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student punched a professor in the stomach after being scolded.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student injured a staff member during a heated debate in their office.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student slapped a security guard after being denied entry to the campus.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student hit a professor with their phone during an argument.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student punched a librarian during a confrontation over library policies.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student punched a teaching assistant after being asked to leave class.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student attacked a staff member with a pen during a meeting.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student scratched a teaching assistant in a fit of rage during class.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student threw a notebook at an administrator during a heated debate.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student slapped a security guard during a confrontation over an ID check.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student shoved a security officer after being caught skipping class.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student threw a chair at a university staff member during an argument.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student kicked a faculty member's office door open, hitting the faculty.",Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student assaulted a faculty member with a backpack during an argument.,Campus and Public Disturbances,"Direct assault upon the person of any member of the administration, faculty, administrative support personnel (ASP), or any student or person vested with authority.",1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student insulted a peer's leadership in a group project, sparking a fight.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student accused a classmate of lying, leading to a physical fight.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student insulted another student’s family, sparking a heated argument.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student provoked a fight by accusing another of spreading rumors.,Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student provoked another by making fun of their name, sparking conflict.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student insulted another's appearance, provoking a confrontation.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student insulted another's work in front of the class, leading to a confrontation.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student mocked another student’s speech, provoking a heated exchange.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student insulted another student's artwork, leading to a confrontation.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student made offensive jokes about another student’s culture, provoking conflict.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student pushed a peer in frustration, sparking a fight.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student insulted a peer’s leadership during a group activity, sparking tension.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student spread rumors about a classmate, leading to a verbal fight.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student provoked a confrontation by accusing another of cheating.,Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student made fun of another's academic performance, leading to an argument.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student mocked another student’s relationship status, causing a fight.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student provoked a fight by calling another a derogatory name.,Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student mocked another student’s efforts, causing a verbal altercation.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student provoked another by insulting their choices, leading to a fight.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student made fun of a peer’s family, resulting in a verbal fight.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student provoked a fight by pushing another in the hallway.,Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student insulted another student’s culture, leading to a confrontation.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student insulted a friend group’s loyalty, sparking a heated argument.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student spread false rumors about another, leading to a physical fight.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student intentionally bumped into another, leading to a confrontation.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student taunted another student’s appearance, causing a confrontation.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student mocked another’s sports performance, sparking a verbal fight.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student ridiculed another’s team performance, leading to a confrontation.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student accused a classmate of sabotage, leading to a heated argument.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student insulted another’s intelligence, leading to a heated argument.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student spread rumors about a group of students, sparking conflict.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student ridiculed a classmate's interests, provoking an argument.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student provoked a classmate by publicly criticizing their project.,Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student insulted a group project, resulting in a physical altercation.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student made fun of another's clothes, leading to a heated argument.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student provoked another by mocking their performance in class.,Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student posted offensive comments online, sparking an argument in class.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student mocked another student’s family background, leading to an altercation.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student taunted a peer’s background, leading to an altercation.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student taunted a peer’s grades, leading to a physical confrontation.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
"A student insulted a classmate's abilities during a presentation, causing conflict.",Campus and Public Disturbances,Any provocation that results in a heated verbal or physical confrontation between students and group of students.,1st Offense,"Category 3 (Non-Readmission, denial of admission but is allowed to finish current term)"
A student was caught with an IED in their locker at the sports complex.,Campus and Public Disturbances,Possessing or detonating an improvised explosive device (IED) inside the University premises.,1st Offense,"Category 4 (Exclusion, dropping the name of the student immediately from the roll of students)"
A student was caught hiding an IED in the student health center.,Campus and Public Disturbances,Possessing or detonating an improvised explosive device (IED) inside the University premises.,1st Offense,"Category 4 (Exclusion, dropping the name of the student immediately from the roll of students)"
A student was discovered hiding an IED under the classroom desk.,Campus and Public Disturbances,Possessing or detonating an improvised explosive device (IED) inside the University premises.,1st Offense,"Category 4 (Exclusion, dropping the name of the student immediately from the roll of students)"
A student brought an IED to a club meeting and attempted to detonate it.,Campus and Public Disturbances,Possessing or detonating an improvised explosive device (IED) inside the University premises.,1st Offense,"Category 4 (Exclusion, dropping the name of the student immediately from the roll of students)"
A student was caught placing an IED near the campus entrance.,Campus and Public Disturbances,Possessing or detonating an improvised explosive device (IED) inside the University premises.,1st Offense,"Category 4 (Exclusion, dropping the name of the student immediately from the roll of students)"
A student tried to detonate an IED in the campus auditorium.,Campus and Public Disturbances,Possessing or detonating an improvised explosive device (IED) inside the University premises.,1st Offense,"Category 4 (Exclusion, dropping the name of the student immediately from the roll of students)"
A student attempted to plant an IED under the bleachers during a sports event.,Campus and Public Disturbances,Possessing or detonating an improvised explosive device (IED) inside the University premises.,1st Offense,"Category 4 (Exclusion, dropping the name of the student immediately from the roll of students)"
A student attempted to detonate an IED during a graduation ceremony.,Campus and Public Disturbances,Possessing or detonating an improvised explosive device (IED) inside the University premises.,1st Offense,"Category 4 (Exclusion, dropping the name of the student immediately from the roll of students)"
A student was found in possession of materials used to make an IED.,Campus and Public Disturbances,Possessing or detonating an improvised explosive device (IED) inside the University premises.,1st Offense,"Category 4 (Exclusion, dropping the name of the student immediately from the roll of students)"
A student was found planting an IED under a classroom desk.,Campus and Public Disturbances,Possessing or detonating an improvised explosive device (IED) inside the University premises.,1st Offense,"Category 4 (Exclusion, dropping the name of the student immediately from the roll of students)"
A student brought an IED to the campus garden and attempted to set it off.,Campus and Public Disturbances,Possessing or detonating an improvised explosive device (IED) inside the University premises.,1st Offense,"Category 4 (Exclusion, dropping the name of the student immediately from the roll of students)"
A student was found in possession of an IED near the student cafeteria.,Campus and Public Disturbances,Possessing or detonating an improvised explosive device (IED) inside the University premises.,1st Offense,"Category 4 (Exclusion, dropping the name of the student immediately from the roll of students)"
A student was found hiding an IED near the administration building.,Campus and Public Disturbances,Possessing or detonating an improvised explosive device (IED) inside the University premises.,1st Offense,"Category 4 (Exclusion, dropping the name of the student immediately from the roll of students)"
A student was caught with a detonator and IED in their possession.,Campus and Public Disturbances,Possessing or detonating an improvised explosive device (IED) inside the University premises.,1st Offense,"Category 4 (Exclusion, dropping the name of the student immediately from the roll of students)"
A student was caught attempting to bring an IED into a faculty meeting.,Campus and Public Disturbances,Possessing or detonating an improvised explosive device (IED) inside the University premises.,1st Offense,"Category 4 (Exclusion, dropping the name of the student immediately from the roll of students)"
A student was caught with an IED in the campus garden area.,Campus and Public Disturbances,Possessing or detonating an improvised explosive device (IED) inside the University premises.,1st Offense,"Category 4 (Exclusion, dropping the name of the student immediately from the roll of students)"
A student was caught attempting to detonate an IED during a school festival.,Campus and Public Disturbances,Possessing or detonating an improvised explosive device (IED) inside the University premises.,1st Offense,"Category 4 (Exclusion, dropping the name of the student immediately from the roll of students)"
A student was found with an IED in their backpack near the library.,Campus and Public Disturbances,Possessing or detonating an improvised explosive device (IED) inside the University premises.,1st Offense,"Category 4 (Exclusion, dropping the name of the student immediately from the roll of students)"
A student attempted to detonate an IED during a university board meeting.,Campus and Public Disturbances,Possessing or detonating an improvised explosive device (IED) inside the University premises.,1st Offense,"Category 4 (Exclusion, dropping the name of the student immediately from the roll of students)"
A student was discovered placing an IED in the student lounge.,Campus and Public Disturbances,Possessing or detonating an improvised explosive device (IED) inside the University premises.,1st Offense,"Category 4 (Exclusion, dropping the name of the student immediately from the roll of students)"
A student was discovered with a makeshift IED in their classroom.,Campus and Public Disturbances,Possessing or detonating an improvised explosive device (IED) inside the University premises.,1st Offense,"Category 4 (Exclusion, dropping the name of the student immediately from the roll of students)"
